,Orden de Satélite,Num OS,Estado,Satélite Procesos,Valor Unitario,Cantidad,Producto,SubTotal,Orden de Produccion,Proveedor,Orden Satélite PDF,Fecha Entrega a Satélite,Fecha Promesa a Molt,Ficha Técnica Producto,Orden de Producción Det,Creado por,Cliente,Id.,Costeo
10,OS-0021463-6620-21-POLO MANGA CORTA,21463,En Proceso,Bordado,1200.0,12.0,POLO MANGA CORTA,14400.0,OP-OMNITEMPUS 0006620,CONFECCIONES DOTAJAVEL EMPRESA UNIPERSONAL,,27/03/2026,31/03/2026,,6620-21-POLO MANGA CORTA,Cristian Esguerra,OMNITEMPUS,82447846,COS-0012649 (Costeo)
11,OS-0021462-6656-2-POLO MANGA LARGA,21462,En Proceso,Estampado,2400.0,126.0,POLO MANGA LARGA,302400.0,OP-MINISO 0006656,COLOR PRINT SERVICE SAS - NELSON,,28/03/2026,31/03/2026,103108 FT. POLO MANGA LARGA ROJO ZONA FRANCA MINISO HOMBRE (1).pdf,6656-2-POLO MANGA LARGA,Carolina Gonzalez,MINISO,82447621,COS-0012776 (Costeo)
12,OS-0021461-6656-1-POLO MANGA LARGA,21461,En Proceso,Estampado,2400.0,100.0,POLO MANGA LARGA,240000.0,OP-MINISO 0006656,COLOR PRINT SERVICE SAS - NELSON,,28/03/2026,07/04/2026,103107 FT. POLO MANGA LARGA NEGRO ZONA FRANCA MINISO HOMBRE (1).pdf,6656-1-POLO MANGA LARGA,Carolina Gonzalez,MINISO,82447605,COS-0012776 (Costeo)
13,OS-0021460-6583-1-Chaqueta Rompevientos,21460,En Proceso,Bordado,2200.0,2.0,Chaqueta Rompevientos,4400.0,OP-USO 0006583,SEIIBA  SAS,,27/03/2026,30/03/2026,,6583-1-Chaqueta Rompevientos,Cristian Esguerra,USO,82442321,COS-0012556 (Costeo)
14,OS-0021459-6639-28-Canguro,21459,En Proceso,Confección,13500.0,160.0,Canguro,2160000.0,OP-TALMA COLOMBIA 0006639,CASAVI,,27/03/2026,18/04/2026,,6639-28-Canguro,Cristian Esguerra,TALMA COLOMBIA,82438756,COS-0012699 (Costeo)
15,OS-0021458-6546-2-Pantalón dotación,21458,En Proceso,Bordado,1600.0,970.0,Pantalón dotación,1552000.0,OP-AEROSAN S.A.S. 0006546,SEIIBA  SAS,,27/03/2026,31/03/2026,Jean Operativo con Reflectivo.pdf,6546-2-Pantalón dotación,Cristian Esguerra,AEROSAN S.A.S.,82436546,COS-0012455 (Costeo)
16,OS-0021457-6681-2-PANTALÓN  CALLE  DAMA,21457,En Proceso,Confección,12000.0,248.0,PANTALÓN  CALLE  DAMA,2976000.0,OP-Asitex 0006681,NELSON BERMUDEZ SOGAMOSO,,28/03/2026,15/04/2026,208161 FT. PANTALON DAMA DRIL ASITEX.pdf,6681-2-PANTALÓN  CALLE  DAMA,Cristian Esguerra,Asitex,82401229,COS-0012842 (Costeo)
17,OS-0021456-6681-2-PANTALÓN  CALLE  DAMA,21456,En Proceso,Corte y Confeccion,11500.0,360.0,PANTALÓN  CALLE  DAMA,4140000.0,OP-Asitex 0006681,ALIX AIDE PINEDA MONROY,,27/03/2026,20/04/2026,208161 FT. PANTALON DAMA DRIL ASITEX.pdf,6681-2-PANTALÓN  CALLE  DAMA,Cristian Esguerra,Asitex,82401164,COS-0012842 (Costeo)
18,OS-0021455-6681-1-PANTALÓN TIPO CALLE CABALLERO,21455,En Proceso,Confección,1200.0,32.0,PANTALÓN TIPO CALLE CABALLERO,38400.0,OP-Asitex 0006681,NELSON BERMUDEZ SOGAMOSO,,28/03/2026,15/04/2026,108158 FT. PANTALON CABALLERO CLASICO TIPO CALLE DRIL ASITEX.pdf,6681-1-PANTALÓN TIPO CALLE CABALLERO,Cristian Esguerra,Asitex,82401009,COS-0012842 (Costeo)
19,OS-0021454-6681-1-PANTALÓN TIPO CALLE CABALLERO,21454,En Proceso,Corte y Confeccion,11500.0,630.0,PANTALÓN TIPO CALLE CABALLERO,7245000.0,OP-Asitex 0006681,ALIX AIDE PINEDA MONROY,,27/03/2026,20/04/2026,108158 FT. PANTALON CABALLERO CLASICO TIPO CALLE DRIL ASITEX.pdf,6681-1-PANTALÓN TIPO CALLE CABALLERO,Cristian Esguerra,Asitex,82400861,COS-0012842 (Costeo)
20,OS-0021453-6581-7-BATA CHEF,21453,En Proceso,Confección,8000.0,2.0,BATA CHEF,16000.0,OP-NUTRESA 0006581,JOSE IGNACIO - Teresa,,27/03/2026,31/03/2026,207036 FT. BATA CHEF MATERNA MANGA CORTA EMBONE AZUL JEFE COCINA AUXILIAR CORRAL GOURMET GRUPO ACO DAMA.pdf,6581-7-BATA CHEF,Cristian Esguerra,NUTRESA,82400611,COS-0012572 (Costeo)
21,OS-0021452-6662-1-BATA TIPO LABORATORIO,21452,En Proceso,Confección,8000.0,201.0,BATA TIPO LABORATORIO,1608000.0,OP-GRUPO QUALA 0006662,MARIA YOLANDA HERNANDEZ,,27/03/2026,06/04/2026,,6662-1-BATA TIPO LABORATORIO,Cristian Esguerra,GRUPO QUALA,82396459,COS-0012593 (Costeo)
22,OS-0021451-6543-4-Chaleco Liso,21451,Creado,Bordado,4000.0,1.0,Chaleco Liso,4000.0,OP-Sodimac 0006543,,,26/03/2026,27/03/2026,105064 FT. CHALECO ROJO BRIGADISTA CLIMA FRIO SODIMAC.pdf,6543-4-Chaleco Liso,Cristian Esguerra,Sodimac,82395771,COS-0012436 (Costeo)
23,OS-0021450-6543-4-Chaleco Liso,21450,En Proceso,Bordado,4000.0,207.0,Chaleco Liso,828000.0,OP-Sodimac 0006543,SEIIBA  SAS,,26/03/2026,31/03/2026,105064 FT. CHALECO ROJO BRIGADISTA CLIMA FRIO SODIMAC.pdf,6543-4-Chaleco Liso,Cristian Esguerra,Sodimac,82395687,COS-0012436 (Costeo)
24,OS-0021449-6543-5-Chaleco Liso,21449,En Proceso,Bordado,4000.0,333.0,Chaleco Liso,1332000.0,OP-Sodimac 0006543,SEIIBA  SAS,,27/03/2026,31/03/2026,,6543-5-Chaleco Liso,Cristian Esguerra,Sodimac,82395396,COS-0012436 (Costeo)
25,OS-0021448-6662-1-BATA TIPO LABORATORIO,21448,Creado,Estampado,1500.0,98.0,BATA TIPO LABORATORIO,147000.0,OP-GRUPO QUALA 0006662,,,26/03/2026,27/03/2026,,6662-1-BATA TIPO LABORATORIO,Cristian Esguerra,GRUPO QUALA,82392546,COS-0012593 (Costeo)
26,OS-0021447-6662-1-BATA TIPO LABORATORIO,21447,En Proceso,Estampado,1500.0,102.0,BATA TIPO LABORATORIO,153000.0,OP-GRUPO QUALA 0006662,SEIIO,,27/03/2026,31/03/2026,,6662-1-BATA TIPO LABORATORIO,Cristian Esguerra,GRUPO QUALA,82392396,COS-0012593 (Costeo)
27,OS-0021446-6583-2-Chaqueta Rompevientos,21446,En Proceso,Confección,17000.0,8.0,Chaqueta Rompevientos,136000.0,OP-USO 0006583,ALBA LUZ CORTES URREA,,27/03/2026,01/04/2026,,6583-2-Chaqueta Rompevientos,Cristian Esguerra,USO,82390433,COS-0012556 (Costeo)
28,OS-0021445-6533-4-CAMISA MANGA LARGA,21445,En Proceso,Confección,12000.0,118.0,CAMISA MANGA LARGA,1416000.0,OP-CLARO COLOMBIA 0006533,MARIA VICTORIA MORENO BERMUDEZ,,27/03/2026,10/04/2026,FT. BLUSA BLANCO MANGA LARGA CAV Y TIENDA CLARO DAMA.pdf,6533-4-CAMISA MANGA LARGA,Cristian Esguerra,CLARO COLOMBIA,82388284,COS-0012424 (Costeo)
29,OS-0021444-6543-2-Pantalón dotación,21444,En Proceso,Confección,11000.0,24.0,Pantalón dotación,264000.0,OP-Sodimac 0006543,JOSE URIEL RUIZ BUSTOS,,27/03/2026,07/04/2026,,6543-2-Pantalón dotación,Cristian Esguerra,Sodimac,82387488,COS-0012436 (Costeo)
30,OS-0021443-6543-1-Pantalón dotación,21443,En Proceso,Confección,11000.0,10.0,Pantalón dotación,110000.0,OP-Sodimac 0006543,JOSE URIEL RUIZ BUSTOS,,27/03/2026,07/04/2026,,6543-1-Pantalón dotación,Cristian Esguerra,Sodimac,82387418,COS-0012436 (Costeo)
31,OS-0021442-6584-5-Blusa  Materna,21442,En Proceso,Confección,13000.0,4.0,Blusa  Materna,52000.0,OP-NUTRESA 0006584,NEIFI CONSTANZA MORALES CASTAÑO,,27/03/2026,31/03/2026,,6584-5-Blusa  Materna,Cristian Esguerra,NUTRESA,82386617,COS-0012578 (Costeo)
32,OS-0021441-6622-1-POLO MANGA CORTA,21441,En Proceso,Confección,5000.0,16.0,POLO MANGA CORTA,80000.0,OP-NUTRESA 0006622,GLORIA LOZANO,,27/03/2026,06/04/2026,103221 FT_ POLO GRIS OSCURO MANGA CORTA MANTENIMIENTO ACO HOMBRE _2_.pdf,6622-1-POLO MANGA CORTA,Cristian Esguerra,NUTRESA,82386060,COS-0012677 (Costeo)
33,OS-0021440-6581-4-POLO MANGA CORTA,21440,En Proceso,Confección,5500.0,4.0,POLO MANGA CORTA,22000.0,OP-NUTRESA 0006581,GLORIA LOZANO,,27/03/2026,06/04/2026,103216 FT. POLO MANGA CORTA BLANCO STEWARD CORRAL GOURMET GRUPO ACO HOMBRE (1).pdf,6581-4-POLO MANGA CORTA,Cristian Esguerra,NUTRESA,82385948,COS-0012572 (Costeo)
34,OS-0021439-6565-6-POLO MANGA CORTA,21439,Creado,Confección,5000.0,385.0,POLO MANGA CORTA,1925000.0,OP-NUTRESA 0006565,PEDRO JULIO SOTO JARAMILLO,,27/03/2026,15/04/2026,203170 FT. POLO MANGA CORTA BLANCO VERDE OPERARIO PAPA JOHNS GRUPO ACO DAMA (1).pdf,6565-6-POLO MANGA CORTA,Cristian Esguerra,NUTRESA,82384223,COS-0012517 (Costeo)
35,OS-0021438-6618-1-POLO MANGA LARGA,21438,En Proceso,Confección,5000.0,996.0,POLO MANGA LARGA,4980000.0,OP-MINISO 0006618,MARIANOROCA SAS - CESAR,,27/03/2026,17/04/2026,103093 FT. POLO MANGA LARGA BLANCO MINISO HOMBRE (2).pdf,6618-1-POLO MANGA LARGA,Cristian Esguerra,MINISO,82376558,COS-0012669 (Costeo)
36,OS-0021437-6658-22-Saco Tejido,21437,En Proceso,Paquete Completo Sin Marca,62000.0,2.0,Saco Tejido,124000.0,OP-Clínica  Palermo 0006658,Tejidos Inca,,26/03/2026,13/04/2026,104164  FT. SACO TEJIDO HOMBRE CON CODERAS NEGRO CLINICA PALERMO (1).pdf,6658-22-Saco Tejido,Cristian Esguerra,Clínica  Palermo,82374587,COS-0012770 (Costeo)
37,OS-0021436-6658-16-Saco Tejido,21436,En Proceso,Paquete Completo Sin Marca,6200.0,54.0,Saco Tejido,334800.0,OP-Clínica  Palermo 0006658,Tejidos Inca,,26/03/2026,13/04/2026,104165  FT. SACO TEJIDO HOMBRE  CON CODERAS  AZUL OSCURO CLINICA PALERMO.pdf,6658-16-Saco Tejido,Cristian Esguerra,Clínica  Palermo,82374435,COS-0012770 (Costeo)
38,OS-0021435-6658-13-Saco Tejido,21435,En Proceso,Paquete Completo Sin Marca,62000.0,176.0,Saco Tejido,10912000.0,OP-Clínica  Palermo 0006658,Tejidos Inca,,26/03/2026,13/04/2026,204053 FT. SACO TEJIDO DAMA CON CODERAS  AZUL OSCURO CLINICA PALERMO.pdf,6658-13-Saco Tejido,Cristian Esguerra,Clínica  Palermo,82374187,COS-0012770 (Costeo)
39,OS-0021434-6620-39-CAMISA MANGA LARGA,21434,En Proceso,Confección,13000.0,2.0,CAMISA MANGA LARGA,26000.0,OP-OMNITEMPUS 0006620,NEIFI CONSTANZA MORALES CASTAÑO,,26/03/2026,30/03/2026,202256 FT. BLUSA MANGA LARGA MATERNA OXFORD AZUL SIN LOGO OMNITEMPUS.pdf,6620-39-CAMISA MANGA LARGA,Cristian Esguerra,OMNITEMPUS,82337795,COS-0012649 (Costeo)
40,OS-0021433-6628-1-CAMISA MANGA LARGA,21433,En Proceso,Confección,12500.0,2.0,CAMISA MANGA LARGA,25000.0,OP-Grupo A 0006628,NEIFI CONSTANZA MORALES CASTAÑO,,26/03/2026,30/03/2026,,6628-1-CAMISA MANGA LARGA,Cristian Esguerra,Grupo A,82337697,COS-0012674 (Costeo)
41,OS-0021432-6580-6-CAMISA MANGA LARGA,21432,En Proceso,Confección,12500.0,3.0,CAMISA MANGA LARGA,37500.0,OP-Grupo A 0006580,NEIFI CONSTANZA MORALES CASTAÑO,,26/03/2026,30/03/2026,,6580-6-CAMISA MANGA LARGA,Cristian Esguerra,Grupo A,82337442,COS-0012574 (Costeo)
42,OS-0021431-6620-23-Chaleco Liso,21431,En Proceso,Bordado,3000.0,50.0,Chaleco Liso,150000.0,OP-OMNITEMPUS 0006620,CONFECCIONES DOTAJAVEL EMPRESA UNIPERSONAL,,25/03/2026,27/03/2026,,6620-23-Chaleco Liso,Cristian Esguerra,OMNITEMPUS,82334264,COS-0012649 (Costeo)
43,OS-0021430-6620-5-Gorra Curva,21430,En Proceso,Confección,6800.0,36.0,Gorra Curva,244800.0,OP-OMNITEMPUS 0006620,AMERICANA DE CONFECCIONES Y SERVICIOS SAS,,25/03/2026,13/04/2026,310106 FT. GORRA SEGURIDAD ENSANDUCHADA SIN LOGO OMNITEMPUS.pdf,6620-5-Gorra Curva,Cristian Esguerra,OMNITEMPUS,82331918,COS-0012649 (Costeo)
44,OS-0021429-6620-4-Gorra Curva,21429,En Proceso,Confección,6800.0,206.0,Gorra Curva,1400800.0,OP-OMNITEMPUS 0006620,AMERICANA DE CONFECCIONES Y SERVICIOS SAS,,25/03/2026,13/04/2026,310105 FT. GORRA SEGURIDAD ENSANDUCHADA CON LOGO OMNITEMPUS.pdf,6620-4-Gorra Curva,Cristian Esguerra,OMNITEMPUS,82330748,COS-0012649 (Costeo)
45,OS-0021428-6650-4-CHAQUETA SPORT,21428,En Proceso,Bordado,3000.0,30.0,CHAQUETA SPORT,90000.0,OP-SITARA 0006650,CONFECCIONES DOTAJAVEL EMPRESA UNIPERSONAL,,25/03/2026,27/03/2026,106217 FT. CHAQUETA GRIS SITARA LOGO PECHO.pdf,6650-4-CHAQUETA SPORT,Cristian Esguerra,SITARA,82329579,COS-0012757 (Costeo)
46,OS-0021427-6668-1-PANTALON RESORTADO CABALLERO,21427,En Proceso,Bordado,3500.0,20.0,PANTALON RESORTADO CABALLERO,70000.0,OP-SITARA 0006668,CONFECCIONES DOTAJAVEL EMPRESA UNIPERSONAL,,25/03/2026,27/03/2026,108149 FT. PANTALÓN DRIL BLANCO HOMBRE BOGOTÁ SITARA.pdf,6668-1-PANTALON RESORTADO CABALLERO,Cristian Esguerra,SITARA,82327924,COS-0012789 (Costeo)
47,OS-0021426-6648-4-HODDIE CERRADO,21426,En Proceso,Estampado,3200.0,115.0,HODDIE CERRADO,368000.0,OP-BANCO DE LA REPUBLICA - NIT 860.005.216-7 0006648,DORA NANCY HERRERA MARTINEZ,,27/03/2026,31/03/2026,104154 -204048 FT. HOODIE AZUL OSCURO BANCO DE LA REPUBLICA.pdf,6648-4-HODDIE CERRADO,Cristian Esguerra,BANCO DE LA REPUBLICA - NIT 860.005.216-7,82327284,COS-0012742 (Costeo)
48,OS-0021425-6648-4-HODDIE CERRADO,21425,En Proceso,Estampado,3200.0,216.0,HODDIE CERRADO,691200.0,OP-BANCO DE LA REPUBLICA - NIT 860.005.216-7 0006648,DORA NANCY HERRERA MARTINEZ,,25/03/2026,30/03/2026,104154 -204048 FT. HOODIE AZUL OSCURO BANCO DE LA REPUBLICA.pdf,6648-4-HODDIE CERRADO,Cristian Esguerra,BANCO DE LA REPUBLICA - NIT 860.005.216-7,82326915,COS-0012742 (Costeo)
49,OS-0021424-6650-3-PANTALON RESORTADO CABALLERO,21424,En Proceso,Bordado,3500.0,45.0,PANTALON RESORTADO CABALLERO,157500.0,OP-SITARA 0006650,CONFECCIONES DOTAJAVEL EMPRESA UNIPERSONAL,,25/03/2026,27/03/2026,108149 FT. PANTALÓN DRIL BLANCO HOMBRE BOGOTÁ SITARA.pdf,6650-3-PANTALON RESORTADO CABALLERO,Cristian Esguerra,SITARA,82326837,COS-0012757 (Costeo)
50,OS-0021423-6584-8-POLO MANGA CORTA,21423,Creado,Bordado,1650.0,84.0,POLO MANGA CORTA,138600.0,OP-NUTRESA 0006584,,,25/03/2026,26/03/2026,103217 FT. POLO MANGA CORTA BLANCO OPERARIO CORRAL TRADICIONAL GRUPO ACO HOMBRE (1).pdf,6584-8-POLO MANGA CORTA,Cristian Esguerra,NUTRESA,82325951,COS-0012578 (Costeo)
51,OS-0021422-6584-8-POLO MANGA CORTA,21422,En Proceso,Bordado,1650.0,629.0,POLO MANGA CORTA,1037850.0,OP-NUTRESA 0006584,SEIIBA  SAS,,25/03/2026,27/03/2026,103217 FT. POLO MANGA CORTA BLANCO OPERARIO CORRAL TRADICIONAL GRUPO ACO HOMBRE (1).pdf,6584-8-POLO MANGA CORTA,Cristian Esguerra,NUTRESA,82325777,COS-0012578 (Costeo)
52,OS-0021421-6543-4-Chaleco Liso,21421,Creado,Confección,10500.0,1.0,Chaleco Liso,10500.0,OP-Sodimac 0006543,,,25/03/2026,26/03/2026,105064 FT. CHALECO ROJO BRIGADISTA CLIMA FRIO SODIMAC.pdf,6543-4-Chaleco Liso,Cristian Esguerra,Sodimac,82325134,COS-0012436 (Costeo)
53,OS-0021420-6543-4-Chaleco Liso,21420,En Proceso,Confección,10500.0,207.0,Chaleco Liso,2173500.0,OP-Sodimac 0006543,KAREN ROJAS PINZON,,25/03/2026,13/04/2026,105064 FT. CHALECO ROJO BRIGADISTA CLIMA FRIO SODIMAC.pdf,6543-4-Chaleco Liso,Cristian Esguerra,Sodimac,82324990,COS-0012436 (Costeo)
54,OS-0021419-6648-5-HODDIE CERRADO,21419,En Proceso,Estampado,3200.0,112.0,HODDIE CERRADO,358400.0,OP-BANCO DE LA REPUBLICA - NIT 860.005.216-7 0006648,DORA NANCY HERRERA MARTINEZ,,26/03/2026,28/03/2026,104155 - 204049 FT. HOODIE VERDE PINO BANCO DE LA REPUBLICA.pdf,6648-5-HODDIE CERRADO,Cristian Esguerra,BANCO DE LA REPUBLICA - NIT 860.005.216-7,82317849,COS-0012742 (Costeo)
55,OS-0021418-6648-5-HODDIE CERRADO,21418,En Proceso,Estampado,3200.0,213.0,HODDIE CERRADO,681600.0,OP-BANCO DE LA REPUBLICA - NIT 860.005.216-7 0006648,DORA NANCY HERRERA MARTINEZ,,25/03/2026,30/03/2026,104155 - 204049 FT. HOODIE VERDE PINO BANCO DE LA REPUBLICA.pdf,6648-5-HODDIE CERRADO,Cristian Esguerra,BANCO DE LA REPUBLICA - NIT 860.005.216-7,82316401,COS-0012742 (Costeo)
56,OS-0021417-6653-23-CAMISA MANGA LARGA,21417,Creado,Confección,13500.0,6.0,CAMISA MANGA LARGA,81000.0,OP-AECSA 0006653,,,25/03/2026,26/03/2026,102214 FT. CAMISA NEGRO MANGA LARGA AESCSA HOMBRE.pdf,6653-23-CAMISA MANGA LARGA,Cristian Esguerra,AECSA,82312252,COS-0012765 (Costeo)
57,OS-0021416-6653-23-CAMISA MANGA LARGA,21416,En Proceso,Confección,13500.0,154.0,CAMISA MANGA LARGA,2079000.0,OP-AECSA 0006653,EMILCE SOLER MARTINEZ,,25/03/2026,06/04/2026,102214 FT. CAMISA NEGRO MANGA LARGA AESCSA HOMBRE.pdf,6653-23-CAMISA MANGA LARGA,Cristian Esguerra,AECSA,82312134,COS-0012765 (Costeo)
58,OS-0021415-6623-6-camisa,21415,En Proceso,Confección,18000.0,5.0,camisa,90000.0,OP-CLINICOS 0006623,CONFECCIONES INFORMALES-CONFORMA LIMITADA,,25/03/2026,30/03/2026,202026 FT. BLUSA BLANCO CUADROS PUNTOS AZULES CUELLO NERÚ SIN LOGO CLINICOS.pdf,6623-6-camisa,Cristian Esguerra,CLINICOS,82309036,COS-0012671 (Costeo)
59,OS-0021414-6648-1-HODDIE CERRADO,21414,Creado,Estampado,3200.0,112.0,HODDIE CERRADO,358400.0,OP-BANCO DE LA REPUBLICA - NIT 860.005.216-7 0006648,,,24/03/2026,25/03/2026,104156 - 204050 FT. HOODIE CRUDO BANCO DE LA REPUBLICA.pdf,6648-1-HODDIE CERRADO,Cristian Esguerra,BANCO DE LA REPUBLICA - NIT 860.005.216-7,82259256,COS-0012742 (Costeo)
60,OS-0021413-6648-1-HODDIE CERRADO,21413,En Proceso,Estampado,3200.0,213.0,HODDIE CERRADO,681600.0,OP-BANCO DE LA REPUBLICA - NIT 860.005.216-7 0006648,DORA NANCY HERRERA MARTINEZ,,25/03/2026,27/03/2026,104156 - 204050 FT. HOODIE CRUDO BANCO DE LA REPUBLICA.pdf,6648-1-HODDIE CERRADO,Cristian Esguerra,BANCO DE LA REPUBLICA - NIT 860.005.216-7,82259147,COS-0012742 (Costeo)
61,OS-0021412-6639-9-CAMISA MANGA CORTA,21412,Creado,Confección,13000.0,1.0,CAMISA MANGA CORTA,13000.0,OP-TALMA COLOMBIA 0006639,,,24/03/2026,25/03/2026,,6639-9-CAMISA MANGA CORTA,Cristian Esguerra,TALMA COLOMBIA,82255742,COS-0012699 (Costeo)
62,OS-0021411-6639-9-CAMISA MANGA CORTA,21411,En Proceso,Confección,13000.0,791.0,CAMISA MANGA CORTA,10283000.0,OP-TALMA COLOMBIA 0006639,OSWALDO GUZMAN - SANDRA CAMISAS,,24/03/2026,15/04/2026,,6639-9-CAMISA MANGA CORTA,Cristian Esguerra,TALMA COLOMBIA,82255581,COS-0012699 (Costeo)
63,OS-0021410-6639-4-CAMISA MANGA CORTA,21410,En Proceso,Confección,12000.0,304.0,CAMISA MANGA CORTA,3648000.0,OP-TALMA COLOMBIA 0006639,OLGA LUCIA GARCIA LOPEZ,,25/03/2026,15/04/2026,,6639-4-CAMISA MANGA CORTA,Cristian Esguerra,TALMA COLOMBIA,82255187,COS-0012699 (Costeo)
64,OS-0021409-6650-2-HODDIE CERRADO,21409,En Proceso,Confección,6500.0,45.0,HODDIE CERRADO,292500.0,OP-SITARA 0006650,JOSE MIGUEL RUIZ HUERTAS,,24/03/2026,27/03/2026,104154 FT. BUSO MANGA LARGA FLEECE BLANCO HOMBRE BOGOTÁ SITARA.pdf,6650-2-HODDIE CERRADO,Cristian Esguerra,SITARA,82250359,COS-0012757 (Costeo)
65,OS-0021408-6650-1-POLO MANGA CORTA,21408,En Proceso,Confección,7000.0,45.0,POLO MANGA CORTA,315000.0,OP-SITARA 0006650,JOSE MIGUEL RUIZ HUERTAS,,24/03/2026,27/03/2026,104153 FT. BUSO MANGA CORTA PERCHADO BLANCO HOMBRE BOGOTÁ SITARA.pdf,6650-1-POLO MANGA CORTA,Cristian Esguerra,SITARA,82250281,COS-0012757 (Costeo)
66,OS-0021407-6543-5-Chaleco Liso,21407,Creado,Confección,10500.0,57.0,Chaleco Liso,598500.0,OP-Sodimac 0006543,,,24/03/2026,25/03/2026,,6543-5-Chaleco Liso,Cristian Esguerra,Sodimac,82248632,COS-0012436 (Costeo)
